# System size (96, 96, 192)
# temperature, gas_density, err, liquid_density, err, lambda, err
0.74 0.00984875 0.0001569 0.76984 0.0001637 1.32045 0.003633
0.76 0.0119728 0.0001637 0.759181 0.0001648 1.35828 0.00384
0.78 0.014697 0.0001576 0.747712 0.0001785 1.41815 0.004069
0.8 0.0175344 0.0001513 0.736693 0.0001655 1.49442 0.004018
0.82 0.0210075 0.0001517 0.724441 0.0001577 1.59007 0.004142
0.84 0.0249919 0.0001618 0.712069 0.0001622 1.69065 0.004575
0.86 0.0293635 0.000151 0.69962 0.0001653 1.77103 0.00467
0.88 0.0343757 0.0001561 0.686927 0.0001624 1.90422 0.005008
0.9 0.0404183 0.0001409 0.672817 0.0001685 2.04366 0.005143
0.92 0.0470342 0.0001462 0.6585 0.0001651 2.14227 0.005501
0.94 0.0548586 0.0001567 0.642577 0.0001549 2.34651 0.006008
0.96 0.0632654 0.0001456 0.627137 0.0001663 2.55008 0.006483
0.98 0.0737489 0.000159 0.609705 0.0001678 2.89943 0.007619
1.0 0.0853645 0.0001446 0.590453 0.0001607 3.19634 0.007884
1.01 0.0931479 0.000146 0.579585 0.000159 3.33094 0.008347
1.02 0.101471 0.0001577 0.565427 0.0001555 3.71858 0.009465
1.03 0.109681 0.0001422 0.555087 0.0001819 3.86827 0.01023
1.04 0.117764 0.0001345 0.542453 0.0001446 4.29676 0.009829
1.05 0.129193 0.0001116 0.52763 0.0001466 4.6252 0.009859
1.06 0.141804 0.0001376 0.511815 0.0001577 5.23644 0.01301
1.07 0.156563 8.24e-05 0.493123 0.0001189 6.55921 0.01055
