# System size (128, 128, 256)
# temperature, gas_density, err, liquid_density, err, lambda, err
0.74 0.00965671 0.0002053 0.769635 0.0002512 1.34297 0.00459
0.76 0.011957 0.0001915 0.759142 0.0002197 1.41665 0.004344
0.78 0.0145145 0.000205 0.74769 0.0002205 1.45738 0.004663
0.8 0.0174077 0.0001945 0.736702 0.0002402 1.55554 0.004947
0.82 0.0209495 0.0001889 0.724931 0.0002142 1.63269 0.00484
0.84 0.0246299 0.0002178 0.712469 0.0002267 1.73382 0.005642
0.86 0.0292264 0.0001891 0.700226 0.0002252 1.80354 0.005445
0.88 0.0343626 0.0001954 0.686976 0.0002108 1.98289 0.005781
0.9 0.0402386 0.0001996 0.672972 0.0002438 2.11037 0.006635
0.92 0.0468361 0.000212 0.6581 0.0002266 2.29828 0.007143
0.94 0.0543416 0.0001815 0.643634 0.0002273 2.44593 0.007018
0.96 0.0628307 0.0002069 0.627275 0.0002156 2.63038 0.007936
0.98 0.072944 0.0001951 0.609725 0.0002334 2.95871 0.008863
1.0 0.085575 0.0001613 0.589147 0.0001493 3.22858 0.008092
1.01 0.0934002 0.0001277 0.578764 0.00014 3.48343 0.008265
1.02 0.0999831 0.0001539 0.567379 0.0001466 3.77113 0.009067
1.03 0.109231 0.0001445 0.556179 0.0001626 3.92239 0.01086
1.04 0.11922 0.0001264 0.542759 0.0001622 4.45611 0.01128
1.05 0.130236 0.0001145 0.527167 0.0001294 4.8822 0.01073
1.06 0.141215 0.0001117 0.511208 0.0001121 5.77444 0.01245
1.07 0.157479 9.651e-05 0.492395 0.0001056 6.97233 0.01549
1.08 0.178633 8.502e-05 0.466399 7.811e-05 8.18966 0.01658
