# System size (32, 32, 64)
# temperature, gas_density, err, liquid_density, err, lambda, err
0.74 0.00986573 0.000212 0.768769 0.0002328 1.16624 0.003882
0.76 0.0118411 0.0002275 0.758501 0.0002306 1.22514 0.004171
0.78 0.0146136 0.000231 0.746258 0.0002366 1.30233 0.004472
0.8 0.0174051 0.000209 0.737149 0.000216 1.34445 0.004194
0.82 0.0211474 0.0002055 0.723205 0.0001926 1.42923 0.004141
0.84 0.0248588 0.0001848 0.712614 0.0001827 1.48287 0.003977
0.86 0.02883 0.0001958 0.701836 0.0002576 1.58203 0.005051
0.88 0.0337208 0.0001944 0.688514 0.000235 1.71992 0.005176
0.9 0.0413656 0.0001791 0.669778 0.0002002 1.80936 0.004914
0.92 0.0471932 0.0001844 0.657375 0.0002284 2.01767 0.005738
0.94 0.0553055 0.0001719 0.641804 0.0002146 2.12257 0.005719
0.96 0.0631165 0.0001662 0.626059 0.0001699 2.29646 0.005447
0.98 0.0731845 0.0001705 0.608649 0.0001607 2.4962 0.005856
1.0 0.085303 0.0001805 0.588933 0.000177 2.76193 0.007046
1.01 0.0932811 0.000167 0.577979 0.0001788 2.95695 0.007296
1.02 0.100468 0.0002012 0.567079 0.0002191 3.1873 0.009523
1.03 0.110403 0.0001142 0.554731 0.000143 3.40865 0.006244
